yago,"http://dbpedia.org/class/yago/"
rdf,"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
foaf,"http://xmlns.com/foaf/0.1/"
dbp,"http://dbpedia.org/property/"
owl,"http://www.w3.org/2002/07/owl#"
dc,"http://purl.org/dc/elements/1.1/"
rdfs,"http://www.w3.org/2000/01/rdf-schema#"
dbo,"http://dbpedia.org/ontology/"
rss,"http://purl.org/rss/1.0/"
sc,"http://umbel.org/umbel/sc/"
fb,"http://rdf.freebase.com/ns/"
skos,"http://www.w3.org/2004/02/skos/core#"
geonames,"http://www.geonames.org/ontology#"
geo,"http://www.w3.org/2003/01/geo/wgs84_pos#"
sioc,"http://rdfs.org/sioc/ns#"
cyc,"http://sw.opencyc.org/concept/"
gr,"http://purl.org/goodrelations/v1#"
akt,"http://www.aktors.org/ontology/portal#"
dbpedia,"http://dbpedia.org/resource/"
xsd,"http://www.w3.org/2001/XMLSchema#"
dcterms,"http://purl.org/dc/terms/"
admin,"http://webns.net/mvcb/"
swrc,"http://swrc.ontoware.org/ontology#"
dbpprop,"http://dbpedia.org/property/"
commerce,"http://search.yahoo.com/searchmonkey/commerce/"
dct,"http://purl.org/dc/terms/"
content,"http://purl.org/rss/1.0/modules/content/"
gldp,"http://www.w3.org/ns/people#"
doap,"http://usefulinc.com/ns/doap#"
xhtml,"http://www.w3.org/1999/xhtml#"
void,"http://rdfs.org/ns/void#"
vcard,"http://www.w3.org/2006/vcard/ns#"
dc11,"http://purl.org/dc/elements/1.1/"
gen,"http://www.w3.org/2006/gen/ont#"
org,"http://www.w3.org/ns/org#"
bill,"http://www.rdfabout.com/rdf/schema/usbill/"
wot,"http://xmlns.com/wot/0.1/"
qb,"http://purl.org/linked-data/cube#"
test2,"http://this.invalid/test2#"
nie,"http://www.semanticdesktop.org/ontologies/2007/01/19/nie#"
d2rq,"http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#"
bibo,"http://purl.org/ontology/bibo/"
http,"http://www.w3.org/2006/http#"
rel,"http://purl.org/vocab/relationship/"
og,"http://opengraphprotocol.org/schema/"
factbook,"http://www4.wiwiss.fu-berlin.de/factbook/ns#"
vann,"http://purl.org/vocab/vann/"
drugbank,"http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/"
mo,"http://purl.org/ontology/mo/"
dcmit,"http://purl.org/dc/dcmitype/"
cc,"http://creativecommons.org/ns#"
media,"http://search.yahoo.com/searchmonkey/media/"
ex,"http://example.com/"
bio,"http://purl.org/vocab/bio/0.1/"
aiiso,"http://purl.org/vocab/aiiso/schema#"
book,"http://purl.org/NET/book/vocab#"
earl,"http://www.w3.org/ns/earl#"
cld,"http://purl.org/cld/terms/"
reco,"http://purl.org/reco#"
dv,"http://rdf.data-vocabulary.org/#"
cv,"http://purl.org/captsolo/resume-rdf/0.2/cv#"
air,"http://dig.csail.mit.edu/TAMI/2007/amord/air#"
musim,"http://purl.org/ontology/similarity/"
event,"http://purl.org/NET/c4dm/event.owl#"
dcq,"http://purl.org/dc/terms/"
ical,"http://www.w3.org/2002/12/cal/ical#"
tag,"http://www.holygoat.co.uk/owl/redwood/0.1/tags/"
swc,"http://data.semanticweb.org/ns/swc/ontology#"
botany,"http://purl.org/NET/biol/botany#"
biblio,"http://purl.org/net/biblio#"
xfn,"http://vocab.sindice.com/xfn#"
rev,"http://purl.org/stuff/rev#"
ad,"http://schemas.talis.com/2005/address/schema#"
osag,"http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#"
dir,"http://schemas.talis.com/2005/dir/schema#"
days,"http://ontologi.es/days#"
log,"http://www.w3.org/2000/10/swap/log#"
owlim,"http://www.ontotext.com/trree/owlim#"
rdfg,"http://www.w3.org/2004/03/trix/rdfg-1/"
sd,"http://www.w3.org/ns/sparql-service-description#"
sism,"http://purl.oclc.org/NET/sism/0.1/"
mu,"http://www.kanzaki.com/ns/music#"
memo,"http://ontologies.smile.deri.ie/2009/02/27/memo#"
afn,"http://jena.hpl.hp.com/ARQ/function#"
cfp,"http://sw.deri.org/2005/08/conf/cfp.owl#"
fn,"http://www.w3.org/2005/xpath-functions#"
ctag,"http://commontag.org/ns#"
xhv,"http://www.w3.org/1999/xhtml/vocab#"
cs,"http://purl.org/vocab/changeset/schema#"
af,"http://purl.org/ontology/af/"
ome,"http://purl.org/ontomedia/core/expression#"
xf,"http://www.w3.org/2002/xforms/"
cal,"http://www.w3.org/2002/12/cal/ical#"
co,"http://purl.org/ontology/co/core#"
cmp,"http://www.ontologydesignpatterns.org/cp/owl/componency.owl#"
xs,"http://www.w3.org/2001/XMLSchema#"
ok,"http://okkam.org/terms#"
giving,"http://ontologi.es/giving#"
swanq,"http://purl.org/swan/1.2/qualifiers/"
dbr,"http://dbpedia.org/resource/"
sider,"http://www4.wiwiss.fu-berlin.de/sider/resource/sider/"
lomvoc,"http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#"
ir,"http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#"
dcn,"http://www.w3.org/2007/uwa/context/deliverycontext.owl#"
wn20schema,"http://www.w3.org/2006/03/wn/wn20/schema/"
swande,"http://purl.org/swan/1.2/discourse-elements/"
rif,"http://www.w3.org/2007/rif#"
math,"http://www.w3.org/2000/10/swap/math#"
myspace,"http://purl.org/ontology/myspace#"
sr,"http://www.openrdf.org/config/repository/sail#"
daia,"http://purl.org/ontology/daia/"
jdbc,"http://d2rq.org/terms/jdbc/"
tzont,"http://www.w3.org/2006/timezone#"
con,"http://www.w3.org/2000/10/swap/pim/contact#"
cert,"http://www.w3.org/ns/auth/cert#"
movie,"http://data.linkedmdb.org/resource/movie/"
nfo,"http://www.semanticdesktop.org/ontologies/nfo/#"
ac,"http://umbel.org/umbel/ac/"
pto,"http://www.productontology.org/id/"
po,"http://purl.org/ontology/po/"
akts,"http://www.aktors.org/ontology/support#"
oo,"http://purl.org/openorg/"
uniprot,"http://purl.uniprot.org/core/"
rsa,"http://www.w3.org/ns/auth/rsa#"
granatum,"http://chem.deri.ie/granatum/"
sioct,"http://rdfs.org/sioc/types#"
ov,"http://open.vocab.org/terms/"
daml,"http://www.daml.org/2001/03/daml+oil#"
frbr,"http://purl.org/vocab/frbr/core#"
wo,"http://purl.org/ontology/wo/"
pmlj,"http://inference-web.org/2.0/pml-justification.owl#"
usgov,"http://www.rdfabout.com/rdf/schema/usgovt/"
prv,"http://purl.org/net/provenance/ns#"
politico,"http://www.rdfabout.com/rdf/schema/politico/"
oauth,"http://demiblog.org/vocab/oauth#"
wn,"http://xmlns.com/wordnet/1.6/"
taxo,"http://purl.org/rss/1.0/modules/taxonomy/"
dcat,"http://www.w3.org/ns/dcat#"
scovo,"http://purl.org/NET/scovo#"
lfm,"http://purl.org/ontology/last-fm/"
mit,"http://purl.org/ontology/mo/mit#"
vote,"http://www.rdfabout.com/rdf/schema/vote/"
irrl,"http://www.ontologydesignpatterns.org/cp/owl/informationobjectsandrepresentationlanguages.owl#"
wdrs,"http://www.w3.org/2007/05/powder-s#"
lgd,"http://linkedgeodata.org/ontology/"
omt,"http://purl.org/ontomedia/ext/common/trait#"
doac,"http://ramonantonio.net/doac/0.1/#"
vs,"http://www.w3.org/2003/06/sw-vocab-status/ns#"
affy,"http://www.affymetrix.com/community/publications/affymetrix/tmsplice#"
rep,"http://www.openrdf.org/config/repository#"
abc,"http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#"
nao,"http://www.semanticdesktop.org/ontologies/2007/08/15/nao#"
scot,"http://scot-project.org/scot/ns#"
spacerel,"http://data.ordnancesurvey.co.uk/ontology/spatialrelations/"
spc,"http://purl.org/ontomedia/core/space#"
acm,"http://www.semanticweb.org/ontologies/2012/acm.owl#"
lastfm,"http://purl.org/ontology/last-fm/"
money,"http://purl.org/net/rdf-money/"
atomix,"http://buzzword.org.uk/rdf/atomix#"
skosxl,"http://www.w3.org/2008/05/skos-xl#"
loc,"http://www.w3.org/2007/uwa/context/location.owl#"
user,"http://schemas.talis.com/2005/user/schema#"
coref,"http://www.rkbexplorer.com/ontologies/coref#"
resex,"http://resex.rkbexplorer.com/ontologies/resex#"
